[2025-08-07T08:44:51.465Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:44:51.488Z] ERROR: GET /api/offers - 404 | {"duration":"3ms","ip":"::1"}
[2025-08-07T08:44:51.498Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:46:40.582Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:46:40.587Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:46:40.606Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:46:40.614Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:46:41.937Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:46:41.942Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:46:42.046Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:46:46.471Z] ERROR: GET /api/offers - 404 | {"duration":"6ms","ip":"::1"}
[2025-08-07T08:46:46.476Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:46:46.488Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:46:46.495Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:46:48.483Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:46:48.488Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:46:48.560Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:47:00.825Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:47:00.826Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:47:00.871Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:47:00.872Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:47:01.057Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:47:11.892Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:47:11.899Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:47:11.955Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:47:11.958Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:47:12.118Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:47:27.571Z] ERROR: GET /api/offers - 404 | {"duration":"4ms","ip":"::1"}
[2025-08-07T08:47:27.573Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:47:27.592Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:47:27.595Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:47:27.749Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:47:37.854Z] ERROR: GET /api/offers - 404 | {"duration":"3ms","ip":"::1"}
[2025-08-07T08:47:37.856Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:47:37.887Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:47:37.892Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:47:38.070Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:47:51.814Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:47:51.818Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:47:51.870Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:47:51.872Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
